url,status,products,title,ms
https://253230-2.myshopify.com,RATE_LIMITED,0,,736
https://26c3f1.myshopify.com,RATE_LIMITED,0,,1226
https://273e18-2.myshopify.com,LIVE,1,,1453
https://2740a4-68.myshopify.com,RATE_LIMITED,0,,1698
https://27d3a1-d7.myshopify.com,LIVE,1,,1814
https://28105c-8c.myshopify.com,RATE_LIMITED,0,,786
https://281c73.myshopify.com,LIVE,1,,1683
https://286ebc-3.myshopify.com,LIVE,1,,2046
https://2bar.myshopify.com,RATE_LIMITED,0,,1556
https://2bg-boutique.myshopify.com,LIVE,1,,701
https://2cb0cc-3.myshopify.com,RATE_LIMITED,0,,1400
https://2ce751-2.myshopify.com,RATE_LIMITED,0,,1535
https://2e9bfc.myshopify.com,LIVE,1,,1743
https://2f21fb.myshopify.com,RATE_LIMITED,0,,1502
https://2f8ca4.myshopify.com,RATE_LIMITED,0,,546
https://2fca68-2.myshopify.com,LIVE,1,,1211
https://2gosystems.myshopify.com,RATE_LIMITED,0,,691
https://3-broke-girlz.myshopify.com,LIVE,1,,963
https://3-sisters-embroidery.myshopify.com,LIVE,1,,1518
https://320c3b-6f.myshopify.com,LIVE,1,,1199
https://32952c-df.myshopify.com,RATE_LIMITED,0,,932
https://32degrees.myshopify.com,RATE_LIMITED,0,,840
https://334631.myshopify.com,RATE_LIMITED,0,,1073
https://347657-7d.myshopify.com,LIVE,1,,1336
https://357669-2.myshopify.com,LIVE,1,,2094
https://359c68.myshopify.com,RATE_LIMITED,0,,1242
https://365-in-love.myshopify.com,LIVE,1,,1704
https://36a228-eb.myshopify.com,RATE_LIMITED,0,,1134
https://37b0cc-2.myshopify.com,RATE_LIMITED,0,,1215
https://390fad-5.myshopify.com,DNS_DEAD,0,,0
https://39f6db-2.myshopify.com,LIVE,1,,1380
https://3ae8dc-2.myshopify.com,RATE_LIMITED,0,,1329
https://3b55e2-fa.myshopify.com,RATE_LIMITED,0,,906
https://3dog-pet-supply.myshopify.com,RATE_LIMITED,0,,1015
https://3doodlerusa.myshopify.com,RATE_LIMITED,0,,954
https://3duxdesign.myshopify.com,RATE_LIMITED,0,,1196
https://3e0ca6-2.myshopify.com,RATE_LIMITED,0,,1114
https://3fishstudios.myshopify.com,RATE_LIMITED,0,,1745
https://3jcase.myshopify.com,RATE_LIMITED,0,,982
https://3plususa.myshopify.com,RATE_LIMITED,0,,1806
https://3pmlife.myshopify.com,RATE_LIMITED,0,,1532
https://3sonsfoods.com,RATE_LIMITED,0,,1666
https://3sproutsusa.myshopify.com,LIVE,1,,2427
https://3tbikeusa.myshopify.com,RATE_LIMITED,0,,2026
https://3wliners.myshopify.com,TIMEOUT,0,,0
https://4-legger-organic-pet-products-shampoo-and-more.myshopify.com,LIVE,1,,1582
https://40-oak-boutique.myshopify.com,LIVE,1,,1149
https://400e5e-2.myshopify.com,LIVE,1,,1625
https://404media.myshopify.com,LIVE,1,,1201
https://40e36f.myshopify.com,RATE_LIMITED,0,,1534
https://40f919.myshopify.com,RATE_LIMITED,0,,1096
https://421207.myshopify.com,RATE_LIMITED,0,,1693
https://42b3e6-38.myshopify.com,LIVE,1,,1923
https://432aea-30.myshopify.com,RATE_LIMITED,0,,766
https://43517e-e0.myshopify.com,RATE_LIMITED,0,,6525
https://441461-5.myshopify.com,RATE_LIMITED,0,,1194
https://4793fb-9d.myshopify.com,RATE_LIMITED,0,,2910
https://47a2a7.myshopify.com,RATE_LIMITED,0,,879
https://47be85-2.myshopify.com,LIVE,1,,1473
https://47bf37.myshopify.com,RATE_LIMITED,0,,988
https://47brand.myshopify.com,RATE_LIMITED,0,,1245
https://482e85.myshopify.com,LIVE,1,,1618
https://48b00c.myshopify.com,RATE_LIMITED,0,,1484
https://49b782-2.myshopify.com,LIVE,1,,1626
https://4adiamond.myshopify.com,RATE_LIMITED,0,,989
https://4b1665-5.myshopify.com,RATE_LIMITED,0,,933
https://4b416a.myshopify.com,RATE_LIMITED,0,,1236
https://4c3c9b-2.myshopify.com,LIVE,1,,987
https://4dd415.myshopify.com,RATE_LIMITED,0,,6680
https://4ubytia-hair.myshopify.com,RATE_LIMITED,0,,492
https://4ucaps1.myshopify.com,LIVE,1,,1628
https://52263b-b3.myshopify.com,LIVE,1,,1574
https://527026.myshopify.com,LIVE,1,,2640
https://53c64c.myshopify.com,DNS_DEAD,0,,0
https://56005c-2.myshopify.com,RATE_LIMITED,0,,1557
https://56906f-da.myshopify.com,LIVE,1,,766
https://57e78a-2.myshopify.com,LIVE,1,,1111
https://59778d-2.myshopify.com,RATE_LIMITED,0,,1367
https://597918-b0.myshopify.com,RATE_LIMITED,0,,716
https://5a655b-27.myshopify.com,DNS_DEAD,0,,0
https://5b9f25.myshopify.com,LIVE,1,,1574
https://5bf8b3.myshopify.com,RATE_LIMITED,0,,1499
https://5cc1b3-4f.myshopify.com,LIVE,1,,1788
https://601e8e.myshopify.com,LIVE,1,,1633
https://605af5.myshopify.com,RATE_LIMITED,0,,558
https://605thriftheat.myshopify.com,RATE_LIMITED,0,,1385
https://606e29-3.myshopify.com,RATE_LIMITED,0,,1123
https://608940-2.myshopify.com,LIVE,1,,2316
https://60ff20.myshopify.com,RATE_LIMITED,0,,1177
https://61cb1b-2.myshopify.com,RATE_LIMITED,0,,6359
https://61cda5-3.myshopify.com,LIVE,1,,1194
https://61f91d-d8.myshopify.com,LIVE,1,,1134
https://622322.myshopify.com,RATE_LIMITED,0,,1696
https://62f8f4-2.myshopify.com,RATE_LIMITED,0,,897
https://63490f.myshopify.com,RATE_LIMITED,0,,1851
https://635ad3-2.myshopify.com,RATE_LIMITED,0,,806
https://63ab5b-3.myshopify.com,RATE_LIMITED,0,,1789
https://64ba3e-2.myshopify.com,HTTP_402,0,,755
https://64e6af-fc.myshopify.com,RATE_LIMITED,0,,6715
https://65279f-8c.myshopify.com,LIVE,1,,1750
https://65txkx-em.myshopify.com,RATE_LIMITED,0,,985
https://6667f3-ae.myshopify.com,RATE_LIMITED,0,,2281
https://66a422-4.myshopify.com,LIVE,1,,1628
https://66ac01-4.myshopify.com,RATE_LIMITED,0,,1034
https://66mint-fine-estate-jewelry.myshopify.com,LIVE,1,,1696
https://67f95b.myshopify.com,LIVE,1,,1650
https://6817fd.myshopify.com,LIVE,1,,691
https://6873b5-dd.myshopify.com,LIVE,1,,1044
https://690e6b-2.myshopify.com,RATE_LIMITED,0,,760
https://6a2b22.myshopify.com,RATE_LIMITED,0,,1419
https://6a8927-15.myshopify.com,RATE_LIMITED,0,,1775
https://6adea4.myshopify.com,RATE_LIMITED,0,,1434
https://6ba227-21.myshopify.com,RATE_LIMITED,0,,1868
https://6bde0d-34.myshopify.com,LIVE,1,,1167
https://6bff84.myshopify.com,RATE_LIMITED,0,,878
https://6c4e0c-2.myshopify.com,LIVE,1,,2590
https://6cbb37.myshopify.com,LIVE,1,,941
https://6d0ce0.myshopify.com,RATE_LIMITED,0,,769
https://6d257c-2.myshopify.com,LIVE,1,,1373
https://6dd7b6-4.myshopify.com,LIVE,1,,1840
https://6e45ab-3.myshopify.com,RATE_LIMITED,0,,837
https://701ba8.myshopify.com,RATE_LIMITED,0,,821
https://7036f0-2.myshopify.com,RATE_LIMITED,0,,1432
https://704-shop.myshopify.com,LIVE,1,,1321
https://72119f.myshopify.com,RATE_LIMITED,0,,704
https://7232d4-63.myshopify.com,LIVE,1,,1546
https://7455e4-fa.myshopify.com,RATE_LIMITED,0,,659
https://747f64.myshopify.com,RATE_LIMITED,0,,1379
https://74e484-2.myshopify.com,RATE_LIMITED,0,,1363
https://74f55b-3.myshopify.com,LIVE,1,,1808
https://75a412-78.myshopify.com,RATE_LIMITED,0,,1150
https://75b534-3.myshopify.com,RATE_LIMITED,0,,1777
https://75e247-4.myshopify.com,LIVE,1,,802
https://766d0f-8d.myshopify.com,LIVE,1,,2221
https://7750d1-2.myshopify.com,RATE_LIMITED,0,,846
https://775d4c-b4.myshopify.com,RATE_LIMITED,0,,1431
https://7762ee-89.myshopify.com,RATE_LIMITED,0,,1804
https://78274a-3.myshopify.com,LIVE,1,,1886
https://786cosmetics.myshopify.com,RATE_LIMITED,0,,1173
https://788a4a-5.myshopify.com,LIVE,1,,2005
https://78d4c4.myshopify.com,RATE_LIMITED,0,,1162
https://79badd-63.myshopify.com,RATE_LIMITED,0,,820
https://7a721b-05.myshopify.com,LIVE,1,,1661
https://7am-enfant.myshopify.com,RATE_LIMITED,0,,876
https://7beea3-4.myshopify.com,RATE_LIMITED,0,,1506
https://7c3558-2.myshopify.com,RATE_LIMITED,0,,1129
https://7cdc9b-bc.myshopify.com,LIVE,1,,1698
https://7dfb11.myshopify.com,RATE_LIMITED,0,,895
https://7e9741-2.myshopify.com,LIVE,1,,1590
https://7f45c6-2.myshopify.com,RATE_LIMITED,0,,1420
https://7f57e7-3.myshopify.com,LIVE,1,,1272
https://7fe604-2.myshopify.com,RATE_LIMITED,0,,513
https://7mjwh9-bv.myshopify.com,RATE_LIMITED,0,,1019
https://7store-1.myshopify.com,RATE_LIMITED,0,,1274
https://7store-3.myshopify.com,RATE_LIMITED,0,,908
https://7store-6.myshopify.com,RATE_LIMITED,0,,1136
https://7store-7.myshopify.com,LIVE,1,,1614
https://7th-street-candle-co.myshopify.com,RATE_LIMITED,0,,1363
https://8-6-4.myshopify.com,LIVE,1,,1757
https://805e95-c9.myshopify.com,RATE_LIMITED,0,,591
https://81fba6-60.myshopify.com,RATE_LIMITED,0,,787
https://826-boston.myshopify.com,RATE_LIMITED,0,,626
https://829cfc-e1.myshopify.com,LIVE,1,,848
https://833ba5-3.myshopify.com,RATE_LIMITED,0,,930
https://837bce-2.myshopify.com,RATE_LIMITED,0,,628
https://83d7b8-2.myshopify.com,RATE_LIMITED,0,,1847
https://83e40d.myshopify.com,LIVE,1,,965
https://844bf3.myshopify.com,RATE_LIMITED,0,,1217
https://847a62-fd.myshopify.com,LIVE,1,,1546
https://868900.myshopify.com,RATE_LIMITED,0,,1259
https://86e9ee-2.myshopify.com,LIVE,1,,1258
https://878fa0.myshopify.com,RATE_LIMITED,0,,698
https://87f383-c8.myshopify.com,DNS_DEAD,0,,0
https://87f694-2.myshopify.com,RATE_LIMITED,0,,861
https://88-films.myshopify.com,LIVE,1,,1530
https://893f4a-2.myshopify.com,LIVE,1,,1332
https://89d081-3.myshopify.com,RATE_LIMITED,0,,662
https://89th-and-autumn.myshopify.com,RATE_LIMITED,0,,832
https://8abfb5.myshopify.com,LIVE,1,,1627
https://8b1203-b0.myshopify.com,RATE_LIMITED,0,,1719
https://8b224a.myshopify.com,LIVE,1,,1218
https://8b5ad9-2.myshopify.com,LIVE,1,,1651
https://8bitdo.myshopify.com,LIVE,1,,956
https://8d3a91-c1.myshopify.com,LIVE,1,,1726
https://8dc26c-8e.myshopify.com,RATE_LIMITED,0,,1120
https://8debe7.myshopify.com,LIVE,1,,1672
https://8f4b66-2.myshopify.com,RATE_LIMITED,0,,941
https://8f6514.myshopify.com,LIVE,1,,1386
https://8fe63f-a1.myshopify.com,LIVE,1,,1732
https://8ffdb7.myshopify.com,LIVE,1,,1638
https://8gz1jf-fx.myshopify.com,RATE_LIMITED,0,,2304
https://911erpcom.myshopify.com,RATE_LIMITED,0,,584
https://91edab-34.myshopify.com,RATE_LIMITED,0,,2620
https://91f01b.myshopify.com,RATE_LIMITED,0,,1650
