url,status,products,title,ms,proxy
https://19fc4d-3.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1ab9ae-f9.myshopify.com,LIVE,1,,1117,au1.cactussstp.com:3129
https://1b2126-3.myshopify.com,SERVER_ERROR,0,,1376,px014004.pointtoserver.com:10780
https://1b3827-2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1ba88a-3.myshopify.com,LIVE,1,,1688,uk2.cactussstp.com:81
https://1bc5eb.myshopify.com,SERVER_ERROR,0,,5920,px150902.pointtoserver.com:10780
https://1bhcvw-za.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1cytj2-ia.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1d3dgear.myshopify.com,TIMEOUT,0,,0,nl3.cactussstp.com:8080
https://1dfc93.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1ec069-2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1f05wx-fi.myshopify.com,LIVE,1,,1412,px014004.pointtoserver.com:10780
https://1f9326.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1kazoku-lunettes.myshopify.com,LIVE,1,,2002,px051003.pointtoserver.com:10780
https://1lss-store.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1milliontheme.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1oliversmith.myshopify.com,LIVE,1,,1119,pt1.cactussstp.com:8080
https://1sourceindustrial.myshopify.com,LIVE,1,,1298,uk2.cactussstp.com:81
https://1st-step-prowellness.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://1storm-helmet.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://209-mare.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://20b695.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://20d3b6-2.myshopify.com,TIMEOUT,0,,0,nl3.cactussstp.com:8080
https://212-performance.myshopify.com,LIVE,1,,539,px591203.pointtoserver.com:10780
https://21723c-8a.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://21c-shop.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://22-dance.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://228afb-2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://232faa-3.myshopify.com,LIVE,1,,1075,px051003.pointtoserver.com:10780
https://235fda.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://236457.myshopify.com,LIVE,1,,512,px591203.pointtoserver.com:10780
https://2440b8.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://2454ce-f2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://24b545-5.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://24hourstickers.myshopify.com,SERVER_ERROR,0,,1527,px032002.pointtoserver.com:10780
https://253230-2.myshopify.com,LIVE,1,,865,px460101.pointtoserver.com:10780
https://26c3f1.myshopify.com,TIMEOUT,0,,0,hk1.cactussstp.com:81
https://273e18-2.myshopify.com,RATE_LIMITED,0,,1118,ca-mon.pvdata.host:8080
https://2740a4-68.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://27d3a1-d7.myshopify.com,RATE_LIMITED,0,,1343,ca-mon.pvdata.host:8080
https://28105c-8c.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://281c73.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://286ebc-3.myshopify.com,RATE_LIMITED,0,,1368,us9.cactussstp.com:81
https://2bar.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://2bg-boutique.myshopify.com,LIVE,1,,1749,uk2.cactussstp.com:81
https://2cb0cc-3.myshopify.com,TIMEOUT,0,,0,nl3.cactussstp.com:8080
https://2ce751-2.myshopify.com,LIVE,1,,459,px591203.pointtoserver.com:10780
https://2e9bfc.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://2f21fb.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://2f8ca4.myshopify.com,LIVE,1,,1836,px180801.pointtoserver.com:10780
https://2fca68-2.myshopify.com,LIVE,1,,1246,de1.cactussstp.com:3129
https://2gosystems.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3-broke-girlz.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3-sisters-embroidery.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://320c3b-6f.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://32952c-df.myshopify.com,TIMEOUT,0,,0,nl3.cactussstp.com:8080
https://32degrees.myshopify.com,TIMEOUT,0,,0,nl3.cactussstp.com:8080
https://334631.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://347657-7d.myshopify.com,LIVE,1,,1096,de1.cactussstp.com:3129
https://357669-2.myshopify.com,LIVE,1,,980,px022505.pointtoserver.com:10780
https://359c68.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://365-in-love.myshopify.com,LIVE,1,,1426,de1.cactussstp.com:3129
https://36a228-eb.myshopify.com,SERVER_ERROR,0,,3221,uk2.cactussstp.com:81
https://37b0cc-2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://390fad-5.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://39f6db-2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3ae8dc-2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3b55e2-fa.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3dog-pet-supply.myshopify.com,LIVE,1,,1410,px014004.pointtoserver.com:10780
https://3doodlerusa.myshopify.com,LIVE,1,,886,px022505.pointtoserver.com:10780
https://3duxdesign.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3e0ca6-2.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3fishstudios.myshopify.com,PROXY_ERROR,0,,0,proxy.proxiware.com:1337
https://3jcase.myshopify.com,LIVE,1,,1563,px032002.pointtoserver.com:10780
https://3plususa.myshopify.com,LIVE,1,,1812,px180801.pointtoserver.com:10780
https://3pmlife.myshopify.com,LIVE,1,,1872,pt1.cactussstp.com:8080
https://3sonsfoods.com,LIVE,1,,10472,lv1.cactussstp.com:81
https://3sproutsusa.myshopify.com,LIVE,1,,2513,us9.cactussstp.com:81
